ID,edf,ref.df,pval,r2,padj,symbol,chr,start.true,end.true
ENSMUSG00000000399,1.0000000004253304,1.0000000008522307,0.6207083715164913,0.056079670569025075,0.7093809960188472,Ndufa9,6,126821721,126849135.99999999
ENSMUSG00000000420,1.000932712010346,1.0018648651831197,0.9961178052976839,0.055587504126764165,0.9977717682268082,Galnt1,18,24205344,24286818
ENSMUSG00000000439,1.0000000006503829,1.0000000013006496,0.29851640967436643,0.05776598448581216,0.4488968566531826,Mkrn2,6,115601902,115622624
ENSMUSG00000000440,5.10479706760387,6.206605315593588,0,0.15531787283927334,0,Pparg,6,115360951,115490399
ENSMUSG00000000441,2.203379080009482,2.8322228202231257,0.21553807671599196,0.0646787840720614,0.36535046790536796,Raf1,6,115618067,115676634.99999999
ENSMUSG00000000486,1.0000000005285978,1.0000000010739738,0.3256344898842421,0.05753492479931255,0.47193404331049577,Sept1,7,127214447,127218498
ENSMUSG00000000530,1.0000000004908012,1.0000000009816026,0.02300954405618605,0.0659672398581247,0.07879980841159606,Acvrl1,15,101128521.99999999,101145336
ENSMUSG00000000532,1.8565644568585669,2.3597155922847386,0.19133788488181874,0.06376011584047658,0.3416747944318192,Acvr1b,15,101174067,101213679
ENSMUSG00000000538,2.9069738335729545,3.6995400284782547,0.20449023954942563,0.06661410548723923,0.3550177769955306,Tom1l2,11,60226713.99999999,60352905
ENSMUSG00000000552,3.0872801437204194,3.864878014033275,3.671977955084227e-4,0.09799860936695792,0.004269741808237473,Zfp385a,15,103313895,103340086
ENSMUSG00000000555,1.0000000004324066,1.0000000008648195,0.003091273415828766,0.07310227936810532,0.018964867581771568,Itga5,15,103344288.99999999,103366762.99999999
ENSMUSG00000000561,1.0000000003137077,1.0000000006284115,0.009121298858163651,0.06922042752417845,0.04152288508995754,Wdr77,3,105959369,105970036.99999999
ENSMUSG00000000563,1.0000000003682348,1.0000000007328762,0.05429529105020536,0.06303732665986383,0.1425073255910902,Atp5f1,3,105942698,105960099
ENSMUSG00000000568,1.6840679485034316,2.1313442692488263,0.02661169739811714,0.07099514564782539,0.0879596278945762,Hnrnpd,5,99955935,99978938
ENSMUSG00000000579,1.0000000003698386,1.0000000007351924,0.11510005247220934,0.060587341197907874,0.24334049148458634,Dynlt1c,17,6601671,6609774
ENSMUSG00000000581,1.0000000004504535,1.0000000009009165,0.7387392305735081,0.05580981148354203,0.8021055706552749,C1d,11,17257579,17269175.999999996
ENSMUSG00000000594,3.8154872165397946,4.786989700175723,7.004174844213451e-4,0.09814329331992944,0.006310067427219326,Gm2a,11,55098115,55113029
ENSMUSG00000000600,1.00000000107929,1.00000000209206,3.0971513115229943e-4,0.08151064167515898,0.0037315076042445717,Krit1,5,3803184,3845564
ENSMUSG00000000605,1.000000003323997,1.0000000066481254,0.3922368235912345,0.05706269867671265,0.5294837782783958,Clcn4-2,7,7282316,7299511
ENSMUSG00000000631,1.957021046156044,2.490643207944322,0.1925598492944658,0.06422115251399318,0.34263318379798186,Myo18a,11,77763246,77865980
ENSMUSG00000000673,1.0000000005158922,1.000000001102588,0.9345075548322012,0.05559876438408995,0.9555291971699399,Haao,17,83831356,83846790
ENSMUSG00000000682,1.6068821055177338,1.998310375669196,0.038617098411816264,0.06889480082377963,0.1129154924322113,Cd52,4,134082448,134095081.99999999
ENSMUSG00000000686,1.0000000015354995,1.000000003025045,0.7183465671058871,0.05584787020048765,0.7920028303262262,Abhd15,11,77515121,77538607
ENSMUSG00000000708,2.7660933226848115,3.5167386278940245,9.549948886272697e-5,0.10180555608440356,0.0016700784804111906,Kat2b,17,53566860.99999999,53672720
ENSMUSG00000000711,1.00000000372272,1.0000000074472317,0.2819643609579563,0.057920734371747495,0.4377668784708846,Rab5b,10,128677192.99999999,128696268
ENSMUSG00000000738,1.0000000004186054,1.0000000008051562,0.4832881927752745,0.05657736558490534,0.6018532911273655,Spg7,8,123062941.99999999,123097760
ENSMUSG00000000739,5.238170762377903,6.337636124976713,0,0.1437653819414222,0,Sult5a1,8,123142846.99999999,123158314.99999999
ENSMUSG00000000740,1.000000000696535,1.0000000013084689,0.7798215029390949,0.05574298162088853,0.8376170815672341,Rpl13,8,123102350,123105244
ENSMUSG00000000743,1.5462151196215008,1.9448299834218983,0.5282338010934231,0.0584653981900064,0.6418393694938312,Chmp1a,8,123204264,123212763
ENSMUSG00000000751,1.000648444197684,1.0012966111475148,0.19348676166395717,0.05899942456250229,0.34324112317856037,Rpa1,11,75298166,75348323.99999999
ENSMUSG00000000753,3.6173436099591627,4.566450368673571,0.2374067726822291,0.06666251195031225,0.38665598156714837,Serpinf1,11,75409769,75422701
ENSMUSG00000000759,1.0000000003628435,1.0000000007259797,7.733452740374958e-4,0.07814681883321783,0.006609788666987143,Tubgcp3,8,12614277,12672248
ENSMUSG00000000776,1.0000000008600844,1.000000001694405,0.05023209449270544,0.06329803153355296,0.13539648111241356,Polr3d,14,70438748,70443471
ENSMUSG00000000782,1.7052770528642984,2.1492878992983675,0.05962521040236124,0.06789056416438499,0.15210512857745215,Tcf7,11,52252371,52283013.99999999
ENSMUSG00000000787,2.7201040207700284,3.4869084588351074,2.301078936117751e-6,0.11810289004270447,8.57637097841759e-5,Ddx3x,X,13280970,13294051.999999998
ENSMUSG00000000804,2.24392445847386,2.891655933459991,3.8908827438777216e-4,0.09211317697972188,0.004413779755054773,Usp32,11,84984442,85140160.99999999
ENSMUSG00000000811,1.467974482594488,1.8178536352021002,7.07430388052821e-4,0.085765697734701,0.006316342750471616,Txnrd3,6,89643988,89675529
ENSMUSG00000000823,2.3971183432792156,3.0669374943128425,2.94855889199086e-6,0.11416714633699465,1.0530567471395929e-4,Znf512b,2,181582103,181592803
ENSMUSG00000000826,1.0000000003979714,1.0000000007130319,0.07071146056774746,0.06216074647950243,0.17038906160903006,Dnajc5,2,181520484.99999997,181555132.99999997
ENSMUSG00000000827,1.000000000376462,1.0000000007536318,0.6916795516932046,0.05590278230454648,0.7676798575951216,Tpd52l2,2,181497142,181517966
ENSMUSG00000000838,1.3918980742219338,1.7026435720541724,0.1532243080794649,0.06272351520004449,0.2963719692059283,Fmr1,X,68678541,68717963
ENSMUSG00000000876,1.000000000787044,1.0000000016066906,0.8210345592135337,0.05568849409068566,0.869739999166879,Pxmp4,2,154585758,154603707.99999997
ENSMUSG00000000881,2.467783725095102,3.1422074528259087,0.10764680907317997,0.06778536083313957,0.23198610980738915,Dlg3,X,100767721.99999999,100818410
ENSMUSG00000000884,4.255386057412227,5.2744475606199686,0.3079547019206544,0.06656891728374936,0.4575849954244493,Gnb1l,16,18498768,18566679
ENSMUSG00000000902,1.0000000003938039,1.000000000788345,0.09258684996340882,0.06128244887998846,0.20866990311253375,Smarcb1,10,75896768.99999999,75921617
ENSMUSG00000000915,2.873249072746416,3.6149374540624897,1.245310653888998e-4,0.10019921124553766,0.0020460053901269525,Hip1r,5,123973627.99999999,124005558
ENSMUSG00000000916,6.956354827834339,8.04354571239587,0.2304640520366783,0.07216226030578765,0.3796771862218753,Nsun5,5,135369952.99999997,135376805
ENSMUSG00000000934,1.0000000004113136,1.0000000008226324,0.9391030459494856,0.055596913585629126,0.9576547481673132,Top1mt,15,75657035,75678800
ENSMUSG00000000948,6.40849828155415,7.558796192749117,0.04077267925561828,0.08268288599778073,0.11682716119088334,Gm38393,7,59974149,60005064
ENSMUSG00000000957,6.138156422969551,7.276648867075263,0.058023995468335754,0.08056070382586034,0.14877947555983528,Mmp14,14,54431611.99999999,54441264.99999999
ENSMUSG00000000958,3.0124838491311756,3.8345002689816723,0.31469159119703494,0.0646252105020908,0.4647894396266857,Slc7a7,14,54369442,54417780
ENSMUSG00000000959,1.0000000005455933,1.000000001091026,0.3099745423905407,0.05766515370210834,0.45922154428228246,Oxa1l,14,54360841,54369673
ENSMUSG00000000976,1.0000000008464887,1.0000000016929815,0.005174652373929667,0.0712458894078265,0.027971093913133332,Heatr6,11,83753695.99999999,83783754
ENSMUSG00000001016,2.5293429780288235,3.2298871682414116,0.005022188721912402,0.08198753183691809,0.027443654218100556,Ilf2,3,90476126,90488379
ENSMUSG00000001017,1.0000000003735863,1.0000000007473058,6.128312030769245e-4,0.07899901032197632,0.0057814264441219294,Chtop,3,90498956,90509498
ENSMUSG00000001018,3.4657232749726794,4.348605833846623,0.5657331996200051,0.06040642316343647,0.6680186352529188,Snapin,3,90488025.99999999,90491033
ENSMUSG00000001020,2.580901312664123,3.2120052188557207,0,0.12922015577980261,0,S100a4,3,90603771,90606045
ENSMUSG00000001025,1.0000000003893257,1.0000000007983616,1.4343907883684892e-6,0.10208697343372963,6.236481688558649e-5,S100a6,3,90612882,90624181
ENSMUSG00000001029,1.0000000005320666,1.0000000010641321,0.8725439387226306,0.05563711441359387,0.9070103313125059,Icam2,11,106377656,106388075
ENSMUSG00000001034,2.086222766122563,2.6764425801130205,0.09194358155643362,0.06828145990696455,0.2084888470667429,Mapk7,11,61488811.99999999,61494406
ENSMUSG00000001036,1.000000000412923,1.0000000008253715,0.4375909605018805,0.056801655972820164,0.5632618624562938,Epn2,11,61517249,61579687
ENSMUSG00000001052,1.0000000003627392,1.0000000007259626,0.004825948326202756,0.07149648530255914,0.026793855920913434,Sec24b,3,129982758.99999999,130061553
ENSMUSG00000001053,1.0000000004535219,1.0000000008952719,0.15893929348674973,0.059585160264489234,0.3010238493823305,N4bp3,11,51643063,51650842
ENSMUSG00000001054,1.0000000004886613,1.0000000009323942,0.20735964509901772,0.05879121106402585,0.3569012824423713,Rmnd5b,11,51623670.99999999,51635895.99999999
ENSMUSG00000001056,1.9493391552084627,2.471817200090506,0.13217872983134954,0.06579108164926306,0.2703041509843549,Nhp2,11,51619735,51623714
ENSMUSG00000001062,1.0000000004481944,1.0000000008731884,0.4788690614915449,0.05659755274085665,0.597839028079332,Vps9d1,8,123242356,123254348
ENSMUSG00000001065,1.0000000007666496,1.000000001496892,0.7992673438421973,0.055715748462914494,0.8557466208160571,Zfp276,8,123254195,123269745
ENSMUSG00000001082,1.3287769061768862,1.597325102966312,0.8052618966233022,0.056652921889764674,0.8584881627114096,Mfsd10,5,34633642,34637212
ENSMUSG00000001089,1.056114968395124,1.1103062651264748,0.3182433670434618,0.05794313624834935,0.46594929288940234,Luzp1,4,136469761,136554780
ENSMUSG00000001095,3.391917721753844,4.22431177316558,2.3283986808181334e-4,0.09911806747994467,0.0030636824747607015,Slc13a2,11,78397087,78422217
ENSMUSG00000001098,1.0000000003272647,1.0000000006506573,0.8673303116004752,0.05564149519109718,0.9034690745838284,Kctd10,5,114363566.99999999,114380507.99999999
ENSMUSG00000001100,1.00000000052602,1.0000000009741017,0.9445002201062108,0.05559491302834674,0.9618128514319866,Poldip2,11,78512193,78522736
ENSMUSG00000001105,1.000000001116384,1.0000000022327713,0.28384953437466215,0.05790253460183603,0.4377668784708846,Ift20,11,78536361,78541737
ENSMUSG00000001119,1.0000000005699143,1.000000001172504,0.7298604541962747,0.05582597258504873,0.7976616985751637,Col6a1,10,76708792,76726168
ENSMUSG00000001123,1.000000001393705,1.0000000027908365,0.9104299049946065,0.0556106885344787,0.9376209114259594,Lgals9,11,78962974,78984946
ENSMUSG00000001127,2.8256145335244236,3.5978966771018803,0.5740864880266996,0.06026260477678469,0.6714461848265492,Araf,X,20797814,20860519
ENSMUSG00000001128,2.0901336128478007,2.688138384988243,0.004540339148338457,0.08166627601294196,0.025507523305272232,Cfp,X,20925454,20931555
ENSMUSG00000001134,1.5032244865776214,1.8676562175010476,0.32785286665591085,0.06024104430759647,0.4724104706857505,Uxt,X,20941722,20962017
ENSMUSG00000001138,1.0000000004040281,1.0000000008346615,0.016661226663861273,0.06709324034814457,0.062168756208437585,Cnnm3,1,36511866.99999999,36528237
ENSMUSG00000001143,1.000000000780351,1.0000000016176132,0.0016074366679617036,0.07547532935875512,0.011733114364683968,Lman2l,1,36419871,36445271
ENSMUSG00000001150,1.000000000485365,1.0000000009708427,8.333086739897855e-5,0.086363324360764,0.0014895483308869997,Mcm3ap,10,76468971,76515856
ENSMUSG00000001151,2.1025080568587122,2.690043760156394,0.002891767621115704,0.08360099656202047,0.018187217742866062,Pcnt,10,76351254,76442912
ENSMUSG00000001155,1.0000000003087626,1.0000000006610779,0.23397098044468517,0.05844242893840046,0.3829312282237073,Ftcd,10,76575648,76590338
ENSMUSG00000001156,1.0000000013951689,1.0000000027661133,0.19498242795669152,0.058971982085036956,0.3444919221849673,Mxd1,6,86647042,86669161
ENSMUSG00000001157,6.797128904365478,7.933802606323412,0.39781833294154123,0.06749201533267313,0.5304244439220549,Gmcl1,6,86691768,86733382.99999999
ENSMUSG00000001158,1.0000000010292642,1.0000000020498983,0.508143918232164,0.05646930099807779,0.6274499533028804,Snrnp27,6,86675151,86684522
ENSMUSG00000001173,1.0000000003531042,1.0000000007032737,0.08030799128990995,0.0617438528131764,0.18895997950567048,Ocrl,X,47912386.99999999,47965868
ENSMUSG00000001175,4.946723516796383,6.089726451122894,0.13775081317617593,0.07301235934849981,0.2782844710629817,Calm1,12,100199435,100209806
ENSMUSG00000001211,1.0006555829278283,1.0013109064295396,0.06115563297642512,0.06264642989449354,0.15482438728208892,Agpat3,10,78269178,78352488.99999999
ENSMUSG00000001227,1.0000000005586474,1.0000000012058397,0.0415046682508417,0.0639421678879668,0.1181289574296083,Sema6b,17,56123084.99999999,56140342.99999999
ENSMUSG00000001229,3.7615720106254686,4.742312981194724,0.06097907039150824,0.0745991216473616,0.15476921419164527,Dpp9,17,56186682,56218889
ENSMUSG00000001240,1.0000000003152365,1.0000000006320828,0.7379625745535064,0.05581120027965902,0.8021055706552749,Ramp2,11,101246028,101259546
ENSMUSG00000001247,1.0000000003221512,1.0000000006884386,0.7717274713610662,0.055755136961417096,0.8298144853344798,Lsr,7,30957774.999999996,30973464
ENSMUSG00000001248,1.000000000352272,1.0000000006954344,0.0405866455336108,0.06401805114518655,0.11662829176324942,Gramd1a,7,31130126.999999996,31155896
ENSMUSG00000001249,1.0000000272731737,1.0000000545478533,0.9083674420444146,0.055611884781683885,0.9364612804581592,Hpn,7,31098725,31115289.999999996
ENSMUSG00000001270,1.5284733830430959,1.8962299949404078,0.06421639963450937,0.06671511639473338,0.158559011443233,Ckb,12,111669355,111672338
ENSMUSG00000001280,1.0000000007345529,1.000000001478245,0.003245587354313073,0.07292624126398473,0.0196702263897762,Sp1,15,102406143,102436404
ENSMUSG00000001281,1.4441184897317856,1.773063809843666,0.1064195181871837,0.06434708804336886,0.2303452774614366,Itgb7,15,102215994.99999999,102231935
ENSMUSG00000001285,1.4769130530801782,1.8342167026237284,0.18857511400712573,0.06236318924143869,0.33734367443135194,Myg1,15,102331708.99999999,102338139
ENSMUSG00000001288,1.000000000395243,1.0000000006967926,0.21001528953928772,0.058754076318162096,0.3602320575287954,Rarg,15,102234938,102257517
ENSMUSG00000001289,1.5473268247159224,1.93390569501922,0.6256230865191295,0.05775670095378571,0.7141816056154446,Pfdn5,15,102326116,102331873
ENSMUSG00000001300,6.216433038861773,7.328625937317615,0.296172518571462,0.06864104078853006,0.4472800051183473,Efnb2,8,8617434,8660772.999999998
ENSMUSG00000001305,1.000000001710597,1.0000000034368006,0.1321063405321879,0.06015484353035183,0.2703041509843549,Rrp15,1,186720978,186749358
ENSMUSG00000001313,8.7802265584752,8.985064024622908,1.2480632879774411e-4,0.11162830141857505,0.0020460053901269525,Rnd2,11,101464998.99999999,101471853
ENSMUSG00000001323,1.4753273609941735,1.8278721893434648,0.011880729656616018,0.07371672084892467,0.04991903217065554,Srr,11,74906359,74925947.99999999
ENSMUSG00000001348,6.742849418682417,7.886616896044991,0.22033141264811662,0.07314231154458672,0.36954212407861065,Acp5,9,22126731,22135745.999999996
ENSMUSG00000001366,2.2113849061463267,2.8280134738520197,0.0010953121083479012,0.08803794120557029,0.008833162164095977,Fbxo9,9,78081499,78109065
ENSMUSG00000001376,1.8836773037762033,2.4086255245133525,0.24026973525130502,0.06295694547720154,0.3900482715118588,Ccdc132,6,3498382,3603531
ENSMUSG00000001380,1.00000000106388,1.0000000021277635,0.006324563161388741,0.07052655433145849,0.03181700985530321,Hars,18,36766529.99999999,36783204.99999999
ENSMUSG00000001383,1.55593634438687,1.9474594780795667,0.3007536222424795,0.06067903564214694,0.45090498087328257,Zmat2,18,36793923,36799659.99999999
ENSMUSG00000001403,2.0524106316941073,2.570263089266637,0.027733693944321958,0.07326896430679619,0.09004446085818818,Ube2c,2,164769897.99999997,164778822
ENSMUSG00000001415,1.0000000011125239,1.0000000022254547,0.09646663087557755,0.06115031127413251,0.21481307179048775,Smg5,3,88336260,88362338
ENSMUSG00000001416,1.0000000003362557,1.0000000006715235,0.04977292472137018,0.06332888203072606,0.13452141816586535,Cct3,3,88297116,88321767
ENSMUSG00000001418,1.244227567565448,1.4536507602661772,0.38143040647915544,0.05861933711156653,0.5192691914697407,Glmp,3,88325023,88331313
ENSMUSG00000001419,4.515350223143202,5.619974768396387,0.0016513443098644665,0.09457266558283783,0.011880174891111268,Mef2d,3,88142372,88172086
ENSMUSG00000001420,1.0000000549611359,1.000000109922272,0.13507319246378868,0.060085747107714194,0.27453900907274126,Tmem79,3,88328655,88336148
ENSMUSG00000001424,1.6755382128416194,2.116494358706441,0.1486958046314843,0.06392863383864977,0.29213321145674714,Snd1,6,28475139,28935162
ENSMUSG00000001435,1.0000000010481538,1.000000002097309,0.061832779791324954,0.06260418853926364,0.15496937291058885,Col18a1,10,77052178,77166547.99999999
ENSMUSG00000001436,1.000000000697399,1.0000000013845407,0.2163081852446901,0.05866825380763452,0.3654427809098385,Slc19a1,10,77032241,77061002
ENSMUSG00000001440,1.0000000003767708,1.0000000007526695,0.3977439585811021,0.05702869157509893,0.5304244439220549,Kpnb1,11,97159714,97187880.99999999
ENSMUSG00000001441,1.0000000004307221,1.0000000008609538,0.06689484902736598,0.06234365716670753,0.1638559975148757,Npepps,11,97205841.99999999,97280638
ENSMUSG00000001445,1.0000000013051347,1.0000000025715154,0.4731913636918834,0.05662393931483889,0.5937156382583231,Mrpl10,11,97041559.99999999,97049213
ENSMUSG00000001467,8.523327178193899,8.933079356218142,0,0.2135113960657773,0,Cyp51,5,4081145.0000000005,4104745.9999999995
ENSMUSG00000001472,1.0000000005396665,1.0000000010790018,0.2897788365058603,0.05784627498293471,0.4420931467403548,Tcf25,8,123373824,123404173
ENSMUSG00000001473,1.0000000005018015,1.0000000010025143,0.9392399884914167,0.055596860512004964,0.9576547481673132,Tubb6,18,67390717,67402748
ENSMUSG00000001482,4.972185823244952,6.08332341869151,0.3765759521058703,0.06639058945306853,0.5183168661473259,Def8,8,123442985.99999999,123463270
ENSMUSG00000001507,1.0000000005530327,1.0000000010273595,0.5732615336575215,0.056225805286768016,0.6712664328542406,Itga3,11,95044474,95076800.99999999
ENSMUSG00000001518,4.324114183061848,5.383291540274912,0.15245389935230963,0.07128779434612242,0.29609445517213173,Itfg2,6,128409444.00000001,128424930.99999999
ENSMUSG00000001524,3.5428590915434057,4.482831750549895,0.24624856234618486,0.06618795096918506,0.39526253988151666,Gtf2h4,17,35667730,35673739
ENSMUSG00000001525,6.370997027611879,7.5191951168009785,0.003668065156259448,0.0942904654777833,0.021704527551831054,Tubb5,17,35833921,35838305.99999999
ENSMUSG00000001542,1.0805518382043597,1.1573039457223213,0.0029571674502992806,0.07491812013867039,0.018482296564370504,Ell2,13,75707484,75772356
ENSMUSG00000001552,1.0004660364602131,1.0009319382435584,0.5683689022198228,0.05624309053216392,0.6701180931295516,Jup,11,100368957.99999999,100397763
ENSMUSG00000001569,1.000000000836964,1.000000001675387,0.004612287608216914,0.07165927273047967,0.025766969878306782,Nom1,5,29434663.999999996,29457842.999999996
ENSMUSG00000001576,1.6414184734047266,2.071268392757198,0.3941954644919654,0.05989335685289954,0.5301673737070124,Ergic1,17,26561488.999999996,26656931
ENSMUSG00000001588,1.0600944399322074,1.1179293281400131,0.963383149518728,0.0557419196307547,0.9740982300492701,Acap1,11,69881566.99999999,69895539
ENSMUSG00000001604,1.0000000004254626,1.0000000008509309,0.6532537863370467,0.05599274481872851,0.732347294099828,Tcea3,4,136247729,136274898
ENSMUSG00000001627,1.4189012629896256,1.738304448074896,0.4069011803114141,0.05917269407822556,0.5382290744859974,Ifrd1,12,40201567,40248504
ENSMUSG00000001630,1.83254879773048,2.3131824249400403,0.04794484693599915,0.06949221500264091,0.13099684955191024,Stk38l,6,146724995,146778812
ENSMUSG00000001632,1.000000001274168,1.0000000025483409,0.08458661837395054,0.06157492303711776,0.19667552415776243,Brpf1,6,113307137,113324860
ENSMUSG00000001642,1.0000000003561158,1.0000000007340464,0.08798375658066726,0.06144722802525249,0.2017976068363928,Akr1b3,6,34302434,34317478
ENSMUSG00000001663,1.864183781740786,2.3719846981692965,0.31682158655061216,0.061651228196398455,0.46594929288940234,Gstt1,10,75783813,75798583.99999999
ENSMUSG00000001665,3.0581524055911538,3.8660676881343585,0.12353026607117606,0.0697003416369174,0.25628685906883003,Gstt3,10,75774115,75781414
ENSMUSG00000001666,1.0000000006556677,1.0000000012678592,0.9834830910773731,0.055585988801708175,0.9894196087297515,Ddt,10,75771230,75773414
ENSMUSG00000001670,1.0000000006520495,1.0000000013040968,9.834559558679623e-4,0.07726761581097907,0.008061114392360347,Tat,8,109990437,109999803
ENSMUSG00000001674,1.0000000003180087,1.0000000006360523,0.004020117393639777,0.07215394178945811,0.023372775544417308,Ddx18,1,121553834.99999999,121567989
ENSMUSG00000001687,1.0000000011299381,1.0000000022591364,0.12008600672099057,0.0604535799609518,0.25122595548324383,Ubl3,5,148504634.99999997,148552789
