phenotypes,gene,chromosome,start,end,minP,CHOL:pValue,CHOL:zStat,CHOL:nParam,CHOL:subjects,chiSquared
["CHOL"],"SARS","1",109756540,109780804,5.072906160746742e-179,5.072906160746742e-179,28.505037150973095,,1850148,5.0729061607468636e-179
["CHOL"],"DHODH","16",72042487,72061563,8.184729475258135e-179,8.184729475258135e-179,28.488271344314427,,2039518,8.184729475258194e-179
["CHOL"],"RELB","19",45504719,45541450,7.407332270302719e-178,7.407332270302719e-178,28.4109390323358,,1712781,7.407332270302547e-178
["CHOL"],"BUD13","11",116618886,116643703,6.951668869454178e-177,6.951668869454178e-177,28.332116166546385,,2019149,6.951668869454315e-177
["CHOL"],"MYBPHL","1",109834987,109849633,3.2336543243427645e-175,3.2336543243427645e-175,28.19643206352364,,1911804,3.23365432434282e-175
["CHOL"],"HAVCR1","5",156453753,156496407,6.070258616743862e-174,6.070258616743862e-174,28.09237281476566,,2031307,6.070258616743992e-174
["CHOL"],"SIK3","11",116714118,116969153,4.9366929070881884e-172,4.9366929070881884e-172,27.935562423860507,,2040495,4.936692907088293e-172
["CHOL"],"FADS2","11",61560452,61634826,2.5448369004133143e-169,2.5448369004133143e-169,27.711395990850566,,1920551,2.5448369004132955e-169
["CHOL"],"IGF2R","6",160390114,160534539,1.2832676963944384e-164,1.2832676963944384e-164,27.318371550387795,,1960537,1.2832676963944062e-164
["CHOL"],"SPC24","19",11242196,11266483,3.4763443669862344e-161,3.4763443669862344e-161,27.02787624357816,,2084109,3.4763443669861594e-161
["CHOL"],"USP24","1",55532032,55681051,2.4079910562556325e-160,2.4079910562556325e-160,26.95627185080877,,1743174,2.407991056255645e-160
["CHOL"],"IST1","16",71879899,71965102,9.39480795390395e-158,9.39480795390395e-158,26.734322750033204,,1908713,9.394807953904019e-158
["CHOL"],"PSRC1","1",109822178,109825808,1.116377009841042e-157,1.116377009841042e-157,26.72787796840931,,1693102,1.1163770098410106e-157
["CHOL"],"C19orf38","19",10947251,10980466,8.685520554537856e-157,8.685520554537856e-157,26.651117413075326,,1841157,8.685520554537623e-157
["CHOL"],"ANKDD1B","5",74907007,74977598,6.952514123607168e-156,6.952514123607168e-156,26.573066186908086,,1798629,6.952514123606977e-156
["CHOL"],"GCKR","2",27719706,27746551,1.6821432352521629e-153,1.6821432352521629e-153,26.36600095855076,,1827817,1.682143235252207e-153
["CHOL"],"SLC22A1","6",160542847,160579750,5.948598730187201e-149,5.948598730187201e-149,25.966316903762415,,1808594,5.948598730187315e-149
["CHOL"],"ZNF821","16",71893583,71929239,1.3358315365327124e-147,1.3358315365327124e-147,25.84638674889212,,1822753,1.3358315365326955e-147
["CHOL"],"APOA4","11",116691416,116694020,5.366054055288443e-145,5.366054055288443e-145,25.61371354378818,,2212223,5.366054055288325e-145
["CHOL"],"POC5","5",74969949,75013273,1.4672200854675214e-144,1.4672200854675214e-144,25.574472722815237,,2052266,1.4672200854674802e-144
["CHOL"],"LIPG","18",47087069,47125555,2.0162091281428096e-138,2.0162091281428096e-138,25.016612623191094,,1858085,2.0162091281428662e-138
["CHOL"],"USP1","1",62901968,62917475,2.4566634812004088e-138,2.4566634812004088e-138,25.00872579085325,,1925098,2.4566634812003817e-138
["CHOL"],"DHX38","16",72127512,72146811,2.904908326172037e-138,2.904908326172037e-138,25.00203399303573,,2192265,2.90490832617208e-138
["CHOL"],"SLC44A2","19",10713133,10755233,9.74853530773881e-137,9.74853530773881e-137,24.861342548805883,,1888475,9.748535307738956e-137
["CHOL"],"HP","16",72088404,72094954,1.0060069896385723e-136,1.0060069896385723e-136,24.860079253800084,,1888496,1.0060069896385581e-136
["CHOL"],"APOA5","11",116660083,116663136,2.0003854317769213e-136,2.0003854317769213e-136,24.832459702557504,,2134082,2.0003854317769384e-136
["CHOL"],"TRIB1","8",126442600,126450645,3.459454634876549e-136,3.459454634876549e-136,24.810426886892778,,1866678,3.459454634876518e-136
["CHOL"],"PAFAH1B2","11",117015000,117047610,5.9078286875936016e-133,5.9078286875936016e-133,24.509096200443654,,1920031,5.907828687593692e-133
["CHOL"],"DNM2","19",10828731,10944164,2.772739479678581e-131,2.772739479678581e-131,24.351820751499073,,1821176,2.7727394796786033e-131
["CHOL"],"TOP1","20",39657462,39753127,1.376321472720307e-127,1.376321472720307e-127,24.00042307539922,,1826542,1.3763214727202886e-127
["CHOL"],"BCL3","19",45250962,45263301,3.0012642268919698e-127,3.0012642268919698e-127,23.967973753047843,,1810519,3.0012642268919722e-127
["CHOL"],"LPA","6",160952514,161085307,1.0936474912899476e-126,1.0936474912899476e-126,23.914056840297704,,1850640,1.0936474912899608e-126
["CHOL"],"PLCG1","20",39765600,39825441,7.427248252127216e-126,7.427248252127216e-126,23.83395744306982,,1711590,7.427248252127142e-126
["CHOL"],"TIMD4","5",156346303,156390237,2.175000148153413e-125,2.175000148153413e-125,23.78891298098422,,1846788,2.1750001481533545e-125
["CHOL"],"PVR","19",45147098,45169430,1.1790821356866012e-121,1.1790821356866012e-121,23.425349030549338,,1877775,1.179082135686582e-121
["CHOL"],"UBXN2B","8",59323918,59364060,4.20582721950452e-121,4.20582721950452e-121,23.371096002448184,,2088786,4.205827219504609e-121
["CHOL"],"ZHX3","20",39807088,39946371,9.24265005005914e-121,9.24265005005914e-121,23.33744382898777,,1928898,9.242650050058949e-121
["CHOL"],"ANKRD31","5",74364100,74532736,1.473122836950034e-119,1.473122836950034e-119,23.21872079741303,,1897200,1.473122836950012e-119
["CHOL"],"MYRF","11",61520108,61555990,8.515478295226123e-116,8.515478295226123e-116,22.84331329058933,,1913796,8.51547829522593e-116
["CHOL"],"HNF1A","12",121416346,121440315,4.616351739404795e-114,4.616351739404795e-114,22.66818291378902,,2068095,4.6163517394048345e-114
["CHOL"],"ATXN1L","16",71842342,71919171,3.142808126122564e-110,3.142808126122564e-110,22.27621065274381,,1804484,3.142808126122607e-110
["CHOL"],"APOC3","11",116700422,116703788,2.63383430732787e-109,2.63383430732787e-109,22.180764104289302,,2030280,2.633834307327887e-109
["CHOL"],"CLPTM1","19",45457842,45496599,6.112208421544039e-108,6.112208421544039e-108,22.038834311980715,,1934816,6.1122084215440845e-108
["CHOL"],"KIAA1324","1",109656301,109749403,6.511709251965513e-108,6.511709251965513e-108,22.03596717461515,,1990746,6.511709251965552e-108
["CHOL"],"CYP7A1","8",59402737,59412722,4.279186577655501e-105,4.279186577655501e-105,21.740168671372995,,2091818,4.279186577655463e-105
["CHOL"],"RBKS","2",28004246,28113548,6.10179714154345e-105,6.10179714154345e-105,21.72387594776769,,1842010,6.101797141543405e-105
["CHOL"],"ABO","9",136108665,136151440,1.0134176741932058e-104,1.0134176741932058e-104,21.700559084392612,,2294900,1.0134176741932045e-104
["CHOL"],"SLC22A3","6",160769410,160873609,1.4070533310890932e-104,1.4070533310890932e-104,21.68546315037754,,1885447,1.4070533310891e-104
["CHOL"],"NSMAF","8",59496067,59572412,4.817892374531463e-104,4.817892374531463e-104,21.628750530361664,,1975591,4.817892374531411e-104
["CHOL"],"PCSK7","11",117075053,117103241,6.792228970387301e-104,6.792228970387301e-104,21.612899490434664,,1955304,6.792228970387298e-104
["CHOL"],"SNX17","2",27593363,27600402,1.6048000634543556e-103,1.6048000634543556e-103,21.573165710779456,,1917765,1.6048000634543628e-103
["CHOL"],"HGFAC","4",3443695,3451213,1.6669378644996856e-103,1.6669378644996856e-103,21.57140845441029,,1862481,1.6669378644996724e-103
["CHOL"],"ATG4D","19",10654571,10664094,2.578416337978498e-103,2.578416337978498e-103,21.551221615597193,,1986630,2.5784163379785023e-103
["CHOL"],"IFT172","2",27667244,27712672,6.278718273068063e-103,6.278718273068063e-103,21.509974136258936,,1828355,6.278718273068024e-103
["CHOL"],"ATG4C","1",63249803,63331187,7.633712896549378e-103,7.633712896549378e-103,21.50090719002676,,2012765,7.633712896549486e-103
["CHOL"],"BRE","2",28112808,28561768,1.7105621284199917e-102,1.7105621284199917e-102,21.463429796024215,,1817297,1.7105621284200105e-102
["CHOL"],"AP1G1","16",71762903,71843104,3.268076763292127e-102,3.268076763292127e-102,21.433311823120572,,1952011,3.2680767632921465e-102
["CHOL"],"APOA1","11",116706467,116708338,3.4655936077691578e-102,3.4655936077691578e-102,21.430579671000554,,2253597,3.4655936077691245e-102
["CHOL"],"ZNF512","2",27805836,27846084,4.659491595618276e-102,4.659491595618276e-102,21.416792052173108,,1719925,4.659491595618252e-102
["CHOL"],"SUGP1","19",19386827,19431318,2.374517091641278e-100,2.374517091641278e-100,21.232852897737235,,1929607,2.3745170916412584e-100
["CHOL"],"FRK","6",116252312,116382054,5.421438737937427e-100,5.421438737937427e-100,21.194021628886517,,1911332,5.421438737937486e-100
["CHOL"],"KPNB1","17",45726842,45762871,7.303678423476587e-100,7.303678423476587e-100,21.179986734102606,,1781673,7.303678423476656e-100
["CHOL"],"PHLPP2","16",71671738,71758604,1.029588652608167e-98,1.029588652608167e-98,21.054969079232844,,1966698,1.0295886526081635e-98
["CHOL"],"NPEPPS","17",45600308,45702031,1.466527848160972e-98,1.466527848160972e-98,21.038199374151635,,1770949,1.4665278481609895e-98
["CHOL"],"ST3GAL4","11",126225535,126310239,8.540482265177706e-97,8.540482265177706e-97,20.84454926809181,,2017594,8.540482265177803e-97
["CHOL"],"ABCG8","2",44059081,44110127,2.3856384301751503e-96,2.3856384301751503e-96,20.795323334173208,,1801659,2.385638430175135e-96
["CHOL"],"SIDT2","11",117049452,117068161,9.401145052480153e-96,9.401145052480153e-96,20.729425025255924,,1977108,9.401145052480227e-96
["CHOL"],"FADS1","11",61567099,61596790,1.1100810324066964e-95,1.1100810324066964e-95,20.721425073931734,,1899732,1.110081032406705e-95
["CHOL"],"GPAM","10",113909623,113975135,1.2630174947394107e-94,1.2630174947394107e-94,20.604015563383697,,1892240,1.263017494739417e-94
["CHOL"],"GAS6","13",114523522,114567049,2.702769507083751e-94,2.702769507083751e-94,20.567145551968974,,1804350,2.7027695070837397e-94
["CHOL"],"QTRT1","19",10812106,10824113,1.1311094678915213e-91,1.1311094678915213e-91,20.27221920902051,,1826188,1.1311094678915214e-91
["CHOL"],"PPM1G","2",27604062,27632458,4.3922037310797114e-91,4.3922037310797114e-91,20.205350369594523,,1692246,4.392203731079709e-91
["CHOL"],"ABCG5","2",44039611,44066004,5.487378694979397e-91,5.487378694979397e-91,20.194356331619684,,1942520,5.487378694979334e-91
["CHOL"],"MAU2","19",19431638,19469563,7.449712712373234e-91,7.449712712373234e-91,20.179248440054877,,1849445,7.449712712373266e-91
["CHOL"],"GCNT4","5",74321171,74348383,1.3799036958561766e-90,1.3799036958561766e-90,20.148752592138713,,1770948,1.3799036958561735e-90
["CHOL"],"EIF2B4","2",27587219,27593205,1.4150154496356175e-90,1.4150154496356175e-90,20.147508541549918,,1536016,1.4150154496356134e-90
["CHOL"],"FAM117B","2",203499692,203634480,3.5962201558714845e-90,3.5962201558714845e-90,20.10127327286481,,1830481,3.5962201558714963e-90
["CHOL"],"ILF3","19",10764980,10803076,9.9940764276704e-90,9.9940764276704e-90,20.05048636420846,,1770583,9.994076427670306e-90
["CHOL"],"DNAH11","7",21582657,21941457,1.0618284417010582e-88,1.0618284417010582e-88,19.932571376437163,,2010807,1.0618284417010574e-88
["CHOL"],"SCARB1","12",125261402,125367214,8.952133976340685e-87,8.952133976340685e-87,19.709409861233627,,1944892,8.952133976340653e-87
["CHOL"],"TXNL4B","16",72078188,72128330,4.12369950728437e-86,4.12369950728437e-86,19.63195823188744,,2046980,4.123699507284318e-86
["CHOL"],"SORT1","1",109852190,109940540,4.96364128003315e-86,4.96364128003315e-86,19.622537076106596,,1731581,4.9636412800331386e-86
["CHOL"],"MSH5","6",31707454,31730453,4.835180097964867e-85,4.835180097964867e-85,19.50648701658458,,1765941,4.8351800979648184e-85
["CHOL"],"C19orf80","19",11348126,11352619,1.8651469858721076e-84,1.8651469858721076e-84,19.43733747427574,,1611998,1.8651469858721003e-84
["CHOL"],"KANK2","19",11274946,11308467,1.9722530962968218e-84,1.9722530962968218e-84,19.434472154805114,,1912563,1.9722530962968196e-84
["CHOL"],"LDAH","2",20883774,21022890,4.851202232814323e-83,4.851202232814323e-83,19.269416346439122,,1840195,4.851202232814379e-83
["CHOL"],"LPIN3","20",39969461,39989222,5.815049403075869e-82,5.815049403075869e-82,19.140432368743998,,1894722,5.81504940307593e-82
["CHOL"],"CBLC","19",45281126,45303909,7.377070186349897e-82,7.377070186349897e-82,19.12803141762456,,1676697,7.377070186349857e-82
["CHOL"],"TM6SF2","19",19375173,19384200,1.4853487225930032e-81,1.4853487225930032e-81,19.091507838854557,,1847547,1.485348722592989e-81
["CHOL"],"PSMA5","1",109941664,109969070,3.238718208370686e-81,3.238718208370686e-81,19.050744529276432,,1697648,3.2387182083707286e-81
["CHOL"],"HLA-B","6",31321649,31334844,3.291507100291621e-81,3.291507100291621e-81,19.049898153979015,,1982029,3.291507100291591e-81
["CHOL"],"GTF3C2","2",27548716,27579866,1.1886887520558995e-80,1.1886887520558995e-80,18.982557329971392,,1547680,1.1886887520559025e-80
["CHOL"],"TRIM54","2",27505297,27530307,1.400612677265706e-80,1.400612677265706e-80,18.973936554806695,,1775784,1.4006126772657165e-80
["CHOL"],"TMPRSS11E","4",69313181,69363322,2.1101367598414855e-80,2.1101367598414855e-80,18.952383572319285,,2039433,2.1101367598415017e-80
["CHOL"],"UGT2B15","4",69512315,69536370,3.897660297554744e-80,3.897660297554744e-80,18.920068445099787,,1700391,3.897660297554754e-80
["CHOL"],"TMED1","19",10942743,10946994,6.502227072473921e-80,6.502227072473921e-80,18.8930752670864,,1699724,6.5022270724738956e-80
["CHOL"],"MKRN2","3",12598556,12627707,1.0203854041031647e-78,1.0203854041031647e-78,18.74719439666297,,1932158,1.0203854041031692e-78
["CHOL"],"APOC4","19",45445494,45448753,5.936380922203498e-78,5.936380922203498e-78,18.653295823738357,,1822217,5.936380922203493e-78
["CHOL"],"PPARG","3",12328867,12475855,8.659675751719639e-78,8.659675751719639e-78,18.633100763654614,,1995521,8.659675751719746e-78
["CHOL"],"EHBP1","2",62900986,63273622,8.888623972209771e-78,8.888623972209771e-78,18.63170424762773,,1789175,8.888623972209796e-78
["CHOL"],"MICA","6",31367561,31383092,1.408318834256465e-77,1.408318834256465e-77,18.607058242289188,,2047537,1.4083188342564699e-77
["CHOL"],"CEACAM19","19",45165545,45187631,3.6661156314669694e-77,3.6661156314669694e-77,18.55571714941157,,1610331,3.666115631467016e-77
["CHOL"],"FADS3","11",61640991,61659523,3.681363319294944e-77,3.681363319294944e-77,18.555494116573314,,1863960,3.6813633192949156e-77
["CHOL"],"RASIP1","19",49223842,49243867,1.1949969359812554e-76,1.1949969359812554e-76,18.492113848558617,,2012384,1.194996935981249e-76
["CHOL"],"UBE2L3","22",21903736,21978323,5.692711472218316e-76,5.692711472218316e-76,18.407750559416307,,1687352,5.692711472218391e-76
["CHOL"],"OASL","12",121455566,121477049,1.1610873050101224e-75,1.1610873050101224e-75,18.36910310721088,,2129848,1.1610873050101195e-75
["CHOL"],"MRPL33","2",27994584,28210954,6.917495985455302e-75,6.917495985455302e-75,18.271975698738295,,1919666,6.917495985455347e-75
["CHOL"],"VARS","6",31745295,31763529,1.0935687936819082e-74,1.0935687936819082e-74,18.24696860864341,,1771228,1.0935687936819233e-74
["CHOL"],"EVI5","1",92974253,93257961,9.940021044006388e-74,9.940021044006388e-74,18.125971563381984,,1818517,9.940021044006306e-74
["CHOL"],"ERGIC3","20",34129787,34145405,1.638568144106051e-73,1.638568144106051e-73,18.098458152865742,,2056855,1.6385681441060453e-73
["CHOL"],"ATXN7L2","1",110026101,110035426,3.77899115980965e-73,3.77899115980965e-73,18.052367931043886,,1757192,3.778991159809695e-73
["CHOL"],"TMEM57","1",25757349,25826700,3.883242997616366e-73,3.883242997616366e-73,18.05086497488571,,1737154,3.883242997616335e-73
["CHOL"],"MPV17","2",27532360,27548547,4.5215124737908804e-73,4.5215124737908804e-73,18.04245827248676,,1660220,4.521512473790847e-73
["CHOL"],"DNAJC5G","2",27498301,27504367,6.96994914870329e-73,6.96994914870329e-73,18.018529793214103,,1799010,6.969949148703357e-73
["CHOL"],"SDCBP","8",59465483,59495418,8.777229790099445e-73,8.777229790099445e-73,18.005769030559186,,1991626,8.777229790099572e-73
["CHOL"],"BRCA2","13",32889223,32974405,9.575138782023012e-73,9.575138782023012e-73,18.000950864075822,,1967875,9.575138782022943e-73
["CHOL"],"SLC5A6","2",27422455,27435826,1.5176065621997212e-72,1.5176065621997212e-72,17.97542638148354,,1728941,1.5176065621997033e-72
["CHOL"],"C7orf50","7",1036622,1177896,1.547489365708477e-72,1.547489365708477e-72,17.97434489531316,,1908600,1.5474893657084638e-72
["CHOL"],"C12orf43","12",121438289,121454305,1.645786158551476e-72,1.645786158551476e-72,17.970928845994898,,2169883,1.6457861585514925e-72
["CHOL"],"CHST4","16",71559136,71572651,3.57195794135473e-72,3.57195794135473e-72,17.927890516360304,,1841128,3.5719579413547276e-72
["CHOL"],"MARVELD3","16",71660064,71676017,3.8859170428693173e-72,3.8859170428693173e-72,17.92320528467659,,1765945,3.885917042869357e-72
["CHOL"],"PNPLA3","22",44319672,44360368,4.301489723311028e-72,4.301489723311028e-72,17.91755311984948,,2164230,4.3014897233110655e-72
["CHOL"],"FGF21","19",49258781,49261590,5.600986022183738e-72,5.600986022183738e-72,17.90285949348402,,1667211,5.600986022183698e-72
["CHOL"],"BCAM","19",45312328,45324678,2.4058182680427263e-71,2.4058182680427263e-71,17.82151410279004,,1804640,2.405818268042732e-71
["CHOL"],"N4BP2L1","13",32974860,33002448,5.1886049027377e-71,5.1886049027377e-71,17.778470734219116,,2024767,5.1886049027377474e-71
["CHOL"],"SLC44A4","6",31830969,31846823,1.345881616821492e-70,1.345881616821492e-70,17.72494500512313,,1934030,1.3458816168214768e-70
["CHOL"],"EHMT2","6",31847536,31865475,6.125851092348487e-70,6.125851092348487e-70,17.63951079369882,,1736196,6.125851092348469e-70
["CHOL"],"IGSF23","19",45116873,45140081,6.991823345368294e-70,6.991823345368294e-70,17.63203720167585,,2148986,6.991823345368252e-70
["CHOL"],"TNXB","6",32008930,32083111,8.362956466175342e-70,8.362956466175342e-70,17.62191068836781,,1824025,8.362956466175404e-70
["CHOL"],"NKPD1","19",45653002,45664240,1.0830640751964243e-69,1.0830640751964243e-69,17.6072784018604,,1816523,1.0830640751964174e-69
["CHOL"],"YIPF2","19",11032861,11039357,1.174299998377786e-69,1.174299998377786e-69,17.60269903920239,,1618709,1.1742999983777955e-69
["CHOL"],"BMPR2","2",203241050,203432474,2.972175331785224e-69,2.972175331785224e-69,17.550034874778007,,1861444,2.9721753317851963e-69
["CHOL"],"RHCE","1",25688740,25756683,2.99140293441594e-69,2.99140293441594e-69,17.549668624915768,,1562266,2.991402934415923e-69
["CHOL"],"TMEM258","11",61535973,61560274,4.096481618634272e-69,4.096481618634272e-69,17.531803127122757,,1884701,4.096481618634304e-69
["CHOL"],"FUT2","19",49199228,49209208,5.43076174883107e-69,5.43076174883107e-69,17.515765403203524,,1880715,5.430761748831076e-69
["CHOL"],"TAGLN","11",117070086,117078180,9.056638521464944e-69,9.056638521464944e-69,17.4866379746727,,1899616,9.05663852146492e-69
["CHOL"],"UGT1A1","2",234668916,234681946,1.0613412161459943e-68,1.0613412161459943e-68,17.477594076289638,,2052390,1.0613412161460048e-68
["CHOL"],"HLA-DQB1","6",32627244,32636160,1.1722552000550955e-68,1.1722552000550955e-68,17.471924547084065,,1484959,1.1722552000551013e-68
["CHOL"],"DNAJC13","3",132136346,132257876,7.223050257878188e-68,7.223050257878188e-68,17.367881833296767,,1979339,7.22305025787813e-68
["CHOL"],"GFI1","1",92938600,92952482,3.1917175544464375e-67,3.1917175544464375e-67,17.282401124941153,,1788703,3.19171755444648e-67
["CHOL"],"PGS1","17",76374730,76421195,3.35939887757742e-67,3.35939887757742e-67,17.279447978691415,,2038711,3.359398877577463e-67
["CHOL"],"LSM2","6",31765173,31774743,4.889526233256685e-67,4.889526233256685e-67,17.2577851446641,,1729301,4.889526233256687e-67
["CHOL"],"RAB3IL1","11",61664773,61687741,5.0996100139417114e-67,5.0996100139417114e-67,17.25535541591604,,1943487,5.0996100139417674e-67
["CHOL"],"NRBP1","2",27650657,27665126,1.444759021067033e-66,1.444759021067033e-66,17.195101425762182,,1722668,1.444759021067046e-66
["CHOL"],"DOK7","4",3465033,3503200,1.072286452298552e-65,1.072286452298552e-65,17.078529072928774,,1947794,1.0722864522985487e-65
["CHOL"],"SETD8","12",123868679,123893900,1.4883591702315128e-65,1.4883591702315128e-65,17.059385135267334,,1852575,1.488359170231517e-65
["CHOL"],"CEP250","20",34042985,34107108,1.633196781396933e-65,1.633196781396933e-65,17.053959161223066,,2035508,1.6331967813969182e-65
["CHOL"],"RAF1","3",12623600,12705700,1.4061426586728798e-64,1.4061426586728798e-64,16.927684239988828,,1911906,1.406142658672892e-64
["CHOL"],"SLC30A3","2",27476552,27498685,4.075546621978181e-64,4.075546621978181e-64,16.86492106557477,,1773263,4.0755466219781895e-64
["CHOL"],"FUT1","19",49251268,49258647,7.578823498404696e-64,7.578823498404696e-64,16.82822577074399,,1881757,7.578823498404699e-64
["CHOL"],"PRRC2A","6",31588492,31605548,8.324355193497148e-64,8.324355193497148e-64,16.822668734525845,,1913001,8.324355193497045e-64
["CHOL"],"NPC1L1","7",44552134,44580929,1.281882635886001e-63,1.281882635886001e-63,16.797075594957292,,1687938,1.2818826358860189e-63
["CHOL"],"ACVR1C","2",158383279,158485376,2.2870539120788565e-63,2.2870539120788565e-63,16.762695141146942,,1712339,2.2870539120788303e-63
["CHOL"],"DDX56","7",44605403,44614650,2.9125355271064354e-63,2.9125355271064354e-63,16.748317333766472,,2022379,2.912535527106457e-63
["CHOL"],"NYNRIN","14",24868209,24888489,4.580854381625534e-63,4.580854381625534e-63,16.721351935353827,,2122596,4.5808543816255757e-63
["CHOL"],"ASAP3","1",23755056,23811061,1.3821274080815066e-62,1.3821274080815066e-62,16.65541383811231,,1868437,1.3821274080815159e-62
["CHOL"],"GPR146","7",1084182,1098897,2.7948189866253656e-62,2.7948189866253656e-62,16.613234441894875,,2024294,2.794818986625403e-62
["CHOL"],"ZNF19","16",71498458,71598992,4.491847376182544e-62,4.491847376182544e-62,16.584751208184194,,1851876,4.49184737618258e-62
["CHOL"],"NOP58","2",203130459,203168384,1.0287695821761963e-61,1.0287695821761963e-61,16.534889851097603,,1947379,1.0287695821762039e-61
["CHOL"],"HLA-DRA","6",32407655,32412823,1.1156757722630496e-61,1.1156757722630496e-61,16.53000229377698,,2293815,1.1156757722630534e-61
["CHOL"],"CEACAM20","19",45005729,45033811,1.2225688856881408e-61,1.2225688856881408e-61,16.5244863925086,,2194782,1.2225688856881555e-61
["CHOL"],"MYLIP","6",16129317,16148479,1.3751362604531562e-60,1.3751362604531562e-60,16.377911145133353,,2003859,1.375136260453142e-60
["CHOL"],"HLA-C","6",31236526,31239907,1.5179933333018785e-60,1.5179933333018785e-60,16.371897558380045,,2105991,1.5179933333018702e-60
["CHOL"],"DYNC2LI1","2",44001178,44037149,1.8700505733974845e-60,1.8700505733974845e-60,16.359199787206066,,1968528,1.8700505733974952e-60
["CHOL"],"CAD","2",27440237,27466811,2.9546921640318547e-60,2.9546921640318547e-60,16.331317957342108,,1715746,2.9546921640318945e-60
["CHOL"],"MAMSTR","19",49215982,49222982,4.393994859076597e-60,4.393994859076597e-60,16.307090630984877,,1961988,4.393994859076558e-60
["CHOL"],"SYPL2","1",110009168,110024756,4.9351998632712265e-60,4.9351998632712265e-60,16.299992650601187,,1993111,4.9351998632712884e-60
["CHOL"],"PLEC","8",144989321,145050902,7.461461364424479e-60,7.461461364424479e-60,16.274708169337732,,1814988,7.461461364424509e-60
["CHOL"],"FNDC4","2",27714750,27718067,8.497289439616817e-60,8.497289439616817e-60,16.2667484544689,,1872956,8.497289439616915e-60
["CHOL"],"ZNF23","16",71481500,71496998,1.0183138918405438e-59,1.0183138918405438e-59,16.25566014550836,,1816029,1.0183138918405403e-59
["CHOL"],"PSORS1C1","6",31082527,31107869,2.9942094224228786e-59,2.9942094224228786e-59,16.189426409620054,,2204616,2.9942094224228835e-59
["CHOL"],"ABCB11","2",169772008,169887834,1.12244196324822e-58,1.12244196324822e-58,16.107908753481606,,1977726,1.1224419632482076e-58
["CHOL"],"CDK2AP1","12",123734659,123756881,1.2000678656116213e-58,1.2000678656116213e-58,16.103772576687273,,1930543,1.2000678656116236e-58
["CHOL"],"UBASH3B","11",122526430,122685181,2.7879225846026803e-58,2.7879225846026803e-58,16.051545145227923,,2087656,2.7879225846026955e-58
