gene,phenotype,chromosome,start,end,bf_common,bf_rare,huge,position,logHugeScore,range
"NAT2","CHOL","8",18248792,18258728,45,1.1126648664787178,50.0699189915423,"8 : 18248792 - 18258728",3.9134204084364566,"Very strong"
"CCDC170","CHOL","6",151815152,151942328,45,1.0850365917815725,48.826646630170764,"6 : 151815152 - 151942328",3.8882762013383694,"Very strong"
"RAB3GAP1","CHOL","2",135809859,135934237,45,1.0682460394077455,48.07107177334855,"2 : 135809859 - 135934237",3.8726805777536026,"Very strong"
"ZNF638","CHOL","2",71503691,71662199,45,1.0612476218990214,47.756142985455966,"2 : 71503691 - 71662199",3.8661077075622505,"Very strong"
"PLCL1","CHOL","2",198669317,199437305,45,1.0595401886292215,47.679308488314966,"2 : 198669317 - 199437305",3.8644975194706084,"Very strong"
"FBXW10","CHOL","17",18647339,18682662,45,1.0430204622306214,46.935920800377964,"17 : 18647339 - 18682662",3.848783284226063,"Very strong"
"THG1L","CHOL","5",157158428,157168457,45,1.0427377427986644,46.923198425939894,"5 : 157158428 - 157168457",3.848512189107744,"Very strong"
"CCDC57","CHOL","17",80059336,80170754,45,1.0377890314123925,46.70050641355766,"17 : 80059336 - 80170754",3.8437550085894534,"Very strong"
"APOL3","CHOL","22",36536377,36562225,45,1.0325759202798315,46.465916412592414,"22 : 36536377 - 36562225",3.8387190634575,"Very strong"
"VLDLR","CHOL","9",2621182,2660056,45,1.0309412305737822,46.392355375820195,"9 : 2621182 - 2660056",3.83713469082718,"Very strong"
"QRICH1","CHOL","3",49067140,49131796,45,1.0300016559347953,46.35007451706579,"3 : 49067140 - 49131796",3.8362228997142567,"Very strong"
"TIMD4","CHOL","5",156346303,156390237,45,1.0264199910070448,46.18889959531702,"5 : 156346303 - 156390237",3.832739500718961,"Very strong"
"SIGLEC1","CHOL","20",3667617,3693247,45,1.0261304709632901,46.17587119334806,"20 : 3667617 - 3693247",3.832457393115724,"Very strong"
"DPYSL5","CHOL","2",27070615,27173219,45,1.0230352966231209,46.03658834804044,"2 : 27070615 - 27173219",3.8294364791974966,"Very strong"
"SMAD4","CHOL","18",48554898,48611415,45,1.019833094293596,45.89248924321182,"18 : 48554898 - 48611415",3.826301470631658,"Very strong"
"SPTY2D1","CHOL","11",18627950,18656338,45,1.0151776598486582,45.68299469318962,"11 : 18627950 - 18656338",3.821726121281002,"Very strong"
"ZNF165","CHOL","6",28048346,28057341,45,1.01345568030654,45.6055056137943,"6 : 28048346 - 28057341",3.82002844637681,"Very strong"
"GLTPD2","CHOL","17",4692259,4693884,45,1.0125673460787687,45.56553057354459,"17 : 4692259 - 4693884",3.8191515222025734,"Very strong"
"SCARB1","CHOL","12",125261402,125367214,45,1.011598672526454,45.52194026369043,"12 : 125261402 - 125367214",3.8181944133317023,"Very strong"
"ALDH1A2","CHOL","15",58245622,58790065,45,1.011234655930208,45.50555951685936,"15 : 58245622 - 58790065",3.817834505676381,"Very strong"
"ABCB4","CHOL","7",87031012,87109751,45,1.010746816918718,45.48360676134231,"7 : 87031012 - 87109751",3.8173519700770133,"Very strong"
"GCKR","CHOL","2",27719706,27746551,45,1.0101884183912624,45.45847882760681,"2 : 27719706 - 27746551",3.8167993560873024,"Very strong"
"SH3TC1","CHOL","4",8183799,8243530,45,1.009964750054182,45.448413752438185,"4 : 8183799 - 8243530",3.8165779190779823,"Very strong"
"BAIAP2L1","CHOL","7",97920962,98030402,45,1.0092599941841762,45.41669973828793,"7 : 97920962 - 98030402",3.8158798730574652,"Very strong"
"RPH3A","CHOL","12",113008184,113336686,45,1.0089699197229771,45.40364638753397,"12 : 113008184 - 113336686",3.815592418728107,"Very strong"
"IP6K2","CHOL","3",48725436,48777786,45,1.0073117332226782,45.32902799502052,"3 : 48725436 - 48777786",3.8139476218598634,"Very strong"
"TMBIM6","CHOL","12",50101508,50158717,45,1.0072925050588226,45.32816272764702,"12 : 50101508 - 50158717",3.813928533084519,"Very strong"
"B3GAT1","CHOL","11",134248398,134282136,45,1.0071799978566993,45.323099903551466,"11 : 134248398 - 134282136",3.813816834163757,"Very strong"
"FAF1","CHOL","1",50902700,51425939,45,1.0068669142021367,45.30901113909615,"1 : 50902700 - 51425939",3.8135059340996023,"Very strong"
"STAT5A","CHOL","17",40439565,40463961,45,1.0066374365853787,45.298684646342046,"17 : 40439565 - 40463961",3.81327799556283,"Very strong"
"SPIC","CHOL","12",101869114,101880775,45,1.0064995004452415,45.29247752003587,"12 : 101869114 - 101880775",3.8131409595392833,"Very strong"
"PNPLA3","CHOL","22",44319672,44360368,45,1.0062394457075008,45.280775056837534,"22 : 44319672 - 44360368",3.812882550728061,"Very strong"
"ABCG8","CHOL","2",44059081,44110127,45,1.0059136396811985,45.266113785653936,"2 : 44059081 - 44110127",3.8125587125156355,"Very strong"
"ACOXL","CHOL","2",111490116,111876125,45,1.005789578204402,45.26053101919809,"2 : 111490116 - 111876125",3.812435372774613,"Very strong"
"GALNT6","CHOL","12",51745031,51786651,45,1.0056904989537179,45.2560724529173,"12 : 51745031 - 51786651",3.8123368589967344,"Very strong"
"ZNF493","CHOL","19",21579921,21610379,45,1.0055416501521368,45.24937425684616,"19 : 21579921 - 21610379",3.812188841472334,"Very strong"
"CYP26A1","CHOL","10",94833232,94837642,45,1.0053478813579475,45.24065466110764,"10 : 94833232 - 94837642",3.8119961219899827,"Very strong"
"HLA-DPB1","CHOL","6",33043767,33057473,20,2.261675635022047,45.23351270044094,"6 : 33043767 - 33057473",3.811838243539375,"Very strong"
"SECISBP2L","CHOL","15",49280673,49338644,45,1.0050573929841542,45.227582684286936,"15 : 49280673 - 49338644",3.8117071370977103,"Very strong"
"SLC25A24","CHOL","1",108676665,108743471,45,1.0044581669851684,45.20061751433258,"1 : 108676665 - 108743471",3.8111107485663807,"Very strong"
"ZNF470","CHOL","19",57078837,57100279,45,1.0040227928547547,45.18102567846396,"19 : 57078837 - 57100279",3.810677212828738,"Very strong"
"MYO7B","CHOL","2",128293259,128395304,45,1.0039438863507228,45.17747488578253,"2 : 128293259 - 128395304",3.8105986193890264,"Very strong"
"ACMSD","CHOL","2",135596186,135659604,45,1.0035247794485784,45.15861507518603,"2 : 135596186 - 135659604",3.8101810717427056,"Very strong"
"GATA3","CHOL","10",8087341,8117161,45,1.0033116953878949,45.14902629245527,"10 : 8087341 - 8117161",3.809968713571867,"Very strong"
"POLK","CHOL","5",74807670,74905816,45,1.0030700544412325,45.13815244985546,"5 : 74807670 - 74905816",3.8097278412175895,"Very strong"
"B4GALNT3","CHOL","12",569105,672675,45,1.0028777729488836,45.12949978269976,"12 : 569105 - 672675",3.80953612985769,"Very strong"
"ANKRD44","CHOL","2",197831741,198175897,45,1.002699826564333,45.121492195394985,"2 : 197831741 - 198175897",3.809358678349396,"Very strong"
"CENPO","CHOL","2",25016005,25045245,45,1.0024821310513752,45.11169589731188,"2 : 25016005 - 25045245",3.809141545422395,"Very strong"
"MANBA","CHOL","4",103551927,103682151,45,1.0023426026720332,45.1054171202415,"4 : 103551927 - 103682151",3.809002352826434,"Very strong"
"HAX1","CHOL","1",154244831,154248351,45,1.00218571047165,45.098356971224256,"1 : 154244831 - 154248351",3.8088458150517615,"Very strong"
"AKIRIN2","CHOL","6",88384578,88411951,45,1.0021045716989387,45.09470572645224,"6 : 88384578 - 88411951",3.808764849960549,"Very strong"
"ZNHIT1","CHOL","7",100861446,100867471,45,1.0019801972770614,45.089108877467766,"7 : 100861446 - 100867471",3.808640729041153,"Very strong"
"MYO9A","CHOL","15",72114632,72410918,45,1.001970875932069,45.0886894169431,"15 : 72114632 - 72410918",3.8086314260745113,"Very strong"
"PSMA5","CHOL","1",109941664,109969070,45,1.0017101353866988,45.076956092401446,"1 : 109941664 - 109969070",3.8083711645404956,"Very strong"
"ADNP2","CHOL","18",77867146,77905406,45,1.0016105218686593,45.07247348408967,"18 : 77867146 - 77905406",3.8082717161394015,"Very strong"
"PRSS50","CHOL","3",46753607,46759359,45,1.0015228814491652,45.06852966521244,"3 : 46753607 - 46759359",3.8081842128114607,"Very strong"
"ZNF136","CHOL","19",12273879,12300686,45,1.0014882044132463,45.066969198596084,"19 : 12273879 - 12300686",3.8081495879048215,"Very strong"
"MAP2K6","CHOL","17",67410838,67550006,45,1.0014383550291552,45.06472597631198,"17 : 67410838 - 67550006",3.808099811357732,"Very strong"
"ZNF585A","CHOL","19",37597636,37663643,45,1.0013691654711825,45.06161244620321,"19 : 37597636 - 37663643",3.808030718789133,"Very strong"
"AP5B1","CHOL","11",65541369,65548447,45,1.0013264277753506,45.05968924989078,"11 : 65541369 - 65548447",3.807988038617486,"Very strong"
"SLC25A20","CHOL","3",48894359,48936337,45,1.0013023860919057,45.058607374135754,"3 : 48894359 - 48936337",3.8079640284931138,"Very strong"
"CMIP","CHOL","16",81478413,81745367,45,1.0012093922519092,45.05442265133591,"16 : 81478413 - 81745367",3.807871151296516,"Very strong"
"EHBP1L1","CHOL","11",65343517,65360121,45,1.0010761169675855,45.04842526354135,"11 : 65343517 - 65360121",3.8077380281390973,"Very strong"
"ITPR3","CHOL","6",33588142,33664351,45,1.0010520645085776,45.047342902885994,"6 : 33588142 - 33664351",3.807714001246882,"Very strong"
"CST6","CHOL","11",65779479,65780976,45,1.0010434713579182,45.04695621110632,"11 : 65779479 - 65780976",3.807705417090426,"Very strong"
"RNF103-CHMP3","CHOL","2",86732791,86948245,45,1.0007534766156265,45.033906447703195,"2 : 86732791 - 86948245",3.80741568266495,"Very strong"
"OR5I1","CHOL","11",55702932,55703876,45,1.0006985656041685,45.03143545218758,"11 : 55702932 - 55703876",3.807360811491109,"Very strong"
"PTK2","CHOL","8",141667999,142012315,45,1.0006140525471487,45.027632364621695,"8 : 141667999 - 142012315",3.807276353864346,"Very strong"
"COL4A2","CHOL","13",110958159,111165556,45,1.00060030479164,45.0270137156238,"13 : 110958159 - 111165556",3.8072626144511155,"Very strong"
"DNAH5","CHOL","5",13690437,14011927,45,1.0005693442761239,45.025620492425574,"5 : 13690437 - 14011927",3.807231672031483,"Very strong"
"SMG9","CHOL","19",44232135,44259114,45,1.0005642313390006,45.02539041025503,"19 : 44232135 - 44259114",3.8072265619906687,"Very strong"
"CHRDL1","CHOL","X",109917084,110039047,45,1.0005474524011746,45.024635358052855,"X : 109917084 - 110039047",3.8072097923740973,"Very strong"
"CHCHD6","CHOL","3",126423083,126679263,45,1.0004981430426545,45.02241643691945,"3 : 126423083 - 126679263",3.8071605087809175,"Very strong"
"ARSG","CHOL","17",66255323,66418872,45,1.0004925089751486,45.022162903881686,"17 : 66255323 - 66418872",3.80715487750273,"Very strong"
"RMI2","CHOL","16",11343476,11475519,45,1.0004771394534413,45.021471275404856,"16 : 11343476 - 11475519",3.807139515428928,"Very strong"
"ASGR1","CHOL","17",7076750,7082883,45,1.0004737006471822,45.0213165291232,"17 : 7076750 - 7082883",3.8071360782567694,"Very strong"
"SP1","CHOL","12",53773960,53810230,45,1.0004704289134854,45.021169301106845,"12 : 53773960 - 53810230",3.807132808066814,"Very strong"
"PPP2R3A","CHOL","3",135684570,135866736,45,1.0004395628650216,45.01978032892597,"3 : 135684570 - 135866736",3.807101956055886,"Very strong"
"IGF2BP2","CHOL","3",185360918,185542830,45,1.0004182746978378,45.018822361402705,"3 : 185360918 - 185542830",3.8070806770156813,"Very strong"
"CCDC51","CHOL","3",48473574,48481866,45,1.000405259469262,45.01823667611679,"3 : 48473574 - 48481866",3.8070676671441426,"Very strong"
"PRMT6","CHOL","1",107599296,107610258,45,1.0003976701598716,45.01789515719422,"1 : 107599296 - 107610258",3.80706008088037,"Very strong"
"MED23","CHOL","6",131895106,131949382,45,1.0003936290880437,45.017713308961966,"6 : 131895106 - 131949382",3.8070560414067582,"Very strong"
"PDHB","CHOL","3",58413357,58419584,45,1.0003927844835492,45.017675301759716,"3 : 58413357 - 58419584",3.8070551971342375,"Very strong"
"SEMA7A","CHOL","15",74701630,74726299,45,1.0003826173157089,45.0172177792069,"15 : 74701630 - 74726299",3.8070450339066895,"Very strong"
"LPL","CHOL","8",19759228,19824770,45,1.0003494151454577,45.015723681545595,"8 : 19759228 - 19824770",3.807011843884522,"Very strong"
"CADM1","CHOL","11",115039938,115375675,45,1.0003280578595866,45.0147626036814,"11 : 115039938 - 115375675",3.8069904938306927,"Very strong"
"ZDHHC7","CHOL","16",85007781,85045141,45,1.000287269908628,45.01292714588826,"16 : 85007781 - 85045141",3.806949718424848,"Very strong"
"PAN3","CHOL","13",28712643,28869472,45,1.000267754318234,45.012048944320526,"13 : 28712643 - 28869472",3.8069302082487635,"Very strong"
"FOXP1","CHOL","3",71003844,71633129,45,1.0002461517734453,45.01107682980504,"3 : 71003844 - 71633129",3.806908611253388,"Very strong"
"SLC12A4","CHOL","16",67977377,68003504,45,1.0002165101968035,45.00974295885616,"16 : 67977377 - 68003504",3.806878976532173,"Very strong"
"PRDX1","CHOL","1",45976586,46008404,45,1.0002050136939893,45.009225616229514,"1 : 45976586 - 46008404",3.8068674824518736,"Very strong"
"MGLL","CHOL","3",127407905,127771033,45,1.0002049621673563,45.00922329753104,"3 : 127407905 - 127771033",3.806867430935801,"Very strong"
"LIAS","CHOL","4",39460624,39486729,45,1.0001924000838003,45.00865800377101,"4 : 39460624 - 39486729",3.8068548713475976,"Very strong"
"EYA3","CHOL","1",28296855,28415148,45,1.0001879191819818,45.00845636318918,"1 : 28296855 - 28415148",3.806850391297704,"Very strong"
"PPP1R1A","CHOL","12",54969171,54982443,45,1.0001706701018536,45.00768015458341,"12 : 54969171 - 54982443",3.8068331453096884,"Very strong"
"ESCO2","CHOL","8",27629466,27670157,45,1.0001599991952457,45.00719996378606,"8 : 27629466 - 27670157",3.8068224761670595,"Very strong"
"RAB2A","CHOL","8",61429495,61536203,45,1.000153819860279,45.00692189371256,"8 : 61429495 - 61536203",3.806816297801537,"Very strong"
"CHST11","CHOL","12",104849073,105155792,45,1.0001329643375916,45.00598339519162,"12 : 104849073 - 105155792",3.8067954452689374,"Very strong"
"TMEM258","CHOL","11",61535973,61560274,45,1.0001252706670536,45.00563718001741,"11 : 61535973 - 61560274",3.8067877525916582,"Very strong"
"TCAP","CHOL","17",37821602,37822807,45,1.0000836603925858,45.00376471766636,"17 : 37821602 - 37822807",3.80674614666357,"Very strong"
"EDEM3","CHOL","1",184659371,184724041,45,1.0000822917795886,45.00370313008149,"1 : 184659371 - 184724041",3.8067447781641257,"Very strong"
"LARP1B","CHOL","4",128982441,129144086,45,1.0000793900199016,45.003572550895576,"4 : 128982441 - 129144086",3.8067418766390007,"Very strong"
"AKNA","CHOL","9",117096436,117156685,45,1.0000769091417583,45.00346091137912,"9 : 117096436 - 117156685",3.8067393959547218,"Very strong"
"CD2AP","CHOL","6",47445525,47594999,45,1.0000743031230108,45.00334364053549,"6 : 47445525 - 47594999",3.8067367901329905,"Very strong"
"NKPD1","CHOL","19",45653002,45664240,45,1.000070387561587,45.00316744027142,"19 : 45653002 - 45664240",3.8067328748548186,"Very strong"
"POLR3K","CHOL","16",96407,103608,45,1.0000504262914385,45.002269183114734,"16 : 96407 - 103608",3.8067129147903955,"Very strong"
"FLT3","CHOL","13",28577411,28674729,45,1.000050126962615,45.00225571331767,"13 : 28577411 - 28674729",3.8067126154766204,"Very strong"
"NOP58","CHOL","2",203130459,203168384,45,1.0000436551206204,45.00196448042792,"2 : 203130459 - 203168384",3.8067061439380834,"Very strong"
"DPF2","CHOL","11",65101314,65121733,45,1.0000429235072408,45.001931557825834,"11 : 65101314 - 65121733",3.806705412356373,"Very strong"
"QSOX2","CHOL","9",139098179,139137658,45,1.0000428894523978,45.0019300253579,"9 : 139098179 - 139137658",3.806705378302991,"Very strong"
"PPP6R2","CHOL","22",50781733,50883519,45,1.000042699197772,45.00192146389974,"22 : 50781733 - 50883519",3.806705188056507,"Very strong"
"TMTC3","CHOL","12",88536073,88593664,45,1.0000285986600839,45.001286939703775,"12 : 88536073 - 88593664",3.80669108802147,"Very strong"
"USP34","CHOL","2",61414598,61698222,45,1.0000280243397035,45.00126109528666,"2 : 61414598 - 61698222",3.806690513717349,"Very strong"
"INSIG2","CHOL","2",118846028,118868573,45,1.0000244302891754,45.00109936301289,"2 : 118846028 - 118868573",3.8066869197610806,"Very strong"
"VASP","CHOL","19",46009837,46030247,45,1.0000233458970882,45.00105056536897,"19 : 46009837 - 46030247",3.8066858353948967,"Very strong"
"GPX4","CHOL","19",1103981,1106790,45,1.0000217445719766,45.00097850573894,"19 : 1103981 - 1106790",3.8066842341058864,"Very strong"
"AGPAT4","CHOL","6",161550999,161695093,45,1.0000173203564717,45.000779416041226,"6 : 161550999 - 161695093",3.806679809976796,"Very strong"
"IRF2BP1","CHOL","19",46386866,46389399,45,1.0000107050526745,45.00048172737036,"19 : 46386866 - 46389399",3.8066731947656955,"Very strong"
"SMAD3","CHOL","15",67356101,67487511,45,1.0000052362604732,45.000235631721296,"15 : 67356101 - 67487511",3.806667726017084,"Very strong"
"LY96","CHOL","8",74903627,74941314,45,1.000003733664527,45.00016801490372,"8 : 74903627 - 74941314",3.806666223427877,"Very strong"
"ENSG00000236461","CHOL","9",117881818,117900688,45,1,45,"9 : 117881818 - 117900688",3.8066624897703196,"Very strong"
"ENSG00000253519","CHOL","5",156992972,156996106,45,1,45,"5 : 156992972 - 156996106",3.8066624897703196,"Very strong"
"ENSG00000286897","CHOL","15",59042122,59053203,45,1,45,"15 : 59042122 - 59053203",3.8066624897703196,"Very strong"
"FFAR4","CHOL","10",95326422,95364237,45,1,45,"10 : 95326422 - 95364237",3.8066624897703196,"Very strong"
"MAP4","CHOL","3",47892180,48130762,45,1,45,"3 : 47892180 - 48130762",3.8066624897703196,"Very strong"
"OR4C15","CHOL","11",55321783,55322895,45,1,45,"11 : 55321783 - 55322895",3.8066624897703196,"Very strong"
"RBCK1","CHOL","20",388142,412783,45,1,45,"20 : 388142 - 412783",3.8066624897703196,"Very strong"
"XDH","CHOL","2",31557187,31637608,45,1,45,"2 : 31557187 - 31637608",3.8066624897703196,"Very strong"
"ENSG00000286960","CHOL","11",15885998,15905199,45,1,45,"11 : 15885998 - 15905199",3.8066624897703196,"Very strong"
"IRS2","CHOL","13",110405042,110438930,45,1,45,"13 : 110405042 - 110438930",3.8066624897703196,"Very strong"
"MIX23P2","CHOL","10",52722753,52723118,45,1,45,"10 : 52722753 - 52723118",3.8066624897703196,"Very strong"
"NR1I2","CHOL","3",119499331,119537334,45,1,45,"3 : 119499331 - 119537334",3.8066624897703196,"Very strong"
